"","contact_serial_no","infant_serial_no","contact_age","contact_time"
"2043","4C-08-049-01","4C-08-049",35,3
"2044","4C-08-049-02","4C-08-049",38,2
"2045","4C-08-049-03","4C-08-049",45,2
"2046","4C-08-049-04","4C-08-049",45,2
"2047","4C-08-050-01","4C-08-050",31,3
"2048","4C-08-050-02","4C-08-050",61,3
"2049","4C-08-050-03","4C-08-050",36,2
"2050","4C-08-051-01","4C-08-051",37,3
"2051","4C-08-051-02","4C-08-051",41,3
"2052","4C-08-051-03","4C-08-051",73,3
"2053","4C-08-052-01","4C-08-052",38,3
"2054","4C-08-052-02","4C-08-052",40,2
"2055","4C-08-052-03","4C-08-052",57,2
"2056","4C-08-052-04","4C-08-052",10,2
"2057","4C-08-053-01","4C-08-053",29,3
"2058","4C-08-053-02","4C-08-053",33,2
"2059","4C-08-053-03","4C-08-053",3,2
"2060","4C-08-054-01","4C-08-054",60,3
"2061","4C-08-054-02","4C-08-054",6,3
"2062","4C-08-054-03","4C-08-054",34,3
"2063","4C-08-054-04","4C-08-054",39,3
"2064","4C-09-001-01","4C-09-001",26,3
"2065","4C-09-001-02","4C-09-001",29,3
"2066","4C-09-001-03","4C-09-001",51,3
"2067","4C-09-002-01","4C-09-002",31,3
"2068","4C-09-002-02","4C-09-002",32,3
"2069","4C-09-002-03","4C-09-002",65,3
"2070","4C-09-002-04","4C-09-002",3,2
"2071","4C-09-002-05","4C-09-002",40,2
"2072","4C-09-002-06","4C-09-002",24,2
"2073","4C-09-002-07","4C-09-002",4,2
"2074","4C-09-003-01","4C-09-003",60,3
"2075","4C-09-003-02","4C-09-003",35,3
"2076","4C-09-003-03","4C-09-003",65,3
"2077","4C-09-003-04","4C-09-003",10,2
"2078","4C-09-003-05","4C-09-003",6,2
"2079","4C-09-004-01","4C-09-004",32,3
"2080","4C-09-004-02","4C-09-004",11,3
"2081","4C-09-004-03","4C-09-004",35,3
"2082","4C-09-004-04","4C-09-004",30,3
"2083","4C-09-004-05","4C-09-004",0,3
"2084","4C-09-005-01","4C-09-005",25,3
"2085","4C-09-005-02","4C-09-005",26,3
"2086","4C-09-005-03","4C-09-005",5,3
"2087","4C-09-005-04","4C-09-005",48,2
"2088","4C-09-005-05","4C-09-005",46,2
"2089","4C-09-006-01","4C-09-006",33,3
"2090","4C-09-006-02","4C-09-006",35,2
"2091","4C-09-006-03","4C-09-006",7,2
"2092","4C-09-006-04","4C-09-006",63,3
"2093","4C-09-006-05","4C-09-006",61,3
"2094","4C-09-006-06","4C-09-006",27,2
"2095","4C-09-007-01","4C-09-007",36,3
"2096","4C-09-007-02","4C-09-007",45,3
"2097","4C-09-008-01","4C-09-008",31,3
"2098","4C-09-008-02","4C-09-008",14,3
"2099","4C-09-008-03","4C-09-008",12,3
"2100","4C-09-008-04","4C-09-008",35,3
"2101","4C-09-008-05","4C-09-008",8,3
"2102","4C-09-009-01","4C-09-009",36,3
"2103","4C-09-009-02","4C-09-009",39,3
"2104","4C-09-009-03","4C-09-009",36,2
"2105","4C-09-009-04","4C-09-009",38,2
"2106","4C-09-009-05","4C-09-009",7,2
"2107","4C-09-009-06","4C-09-009",22,1
"2108","4C-09-010-01","4C-09-010",50,3
"2109","4C-09-010-02","4C-09-010",20,3
"2110","4C-09-010-03","4C-09-010",52,3
"2111","4C-09-011-01","4C-09-011",29,3
"2112","4C-09-011-02","4C-09-011",31,3
"2113","4C-09-011-03","4C-09-011",61,3
"2114","4C-09-011-04","4C-09-011",53,3
"2115","4C-09-011-05","4C-09-011",2,3
"2116","4C-09-011-06","4C-09-011",60,2
"2117","4C-09-012-01","4C-09-012",34,3
"2118","4C-09-012-02","4C-09-012",37,3
"2119","4C-09-012-03","4C-09-012",41,3
"2120","4C-09-012-04","4C-09-012",2,2
"2121","4C-09-013-01","4C-09-013",24,3
"2122","4C-09-013-02","4C-09-013",45,3
"2123","4C-09-013-03","4C-09-013",44,3
"2124","4C-09-013-04","4C-09-013",24,3
"2125","4C-09-014-01","4C-09-014",32,3
"2126","4C-09-014-02","4C-09-014",36,2
"2127","4C-09-014-03","4C-09-014",49,2
"2128","4C-09-014-04","4C-09-014",58,2
"2129","4C-09-014-05","4C-09-014",24,1
"2130","4C-09-014-06","4C-09-014",36,1
"2131","4C-09-014-07","4C-09-014",41,1
"2132","4C-09-014-08","4C-09-014",3,1
"2133","4C-09-014-09","4C-09-014",32,1
"2134","4C-09-015-01","4C-09-015",24,3
"2135","4C-09-015-02","4C-09-015",52,3
"2136","4C-09-015-03","4C-09-015",50,3
"2137","4C-09-015-04","4C-09-015",34,3
"2138","4C-09-015-05","4C-09-015",0,2
"2139","4C-09-015-06","4C-09-015",3,2
"2140","4C-09-016-01","4C-09-016",34,3
"2141","4C-09-016-02","4C-09-016",34,3
"2142","4C-09-016-03","4C-09-016",50,3
"2143","4C-09-016-04","4C-09-016",4,3
"2144","4C-09-017-01","4C-09-017",33,3
"2145","4C-09-017-02","4C-09-017",40,3
"2146","4C-09-017-03","4C-09-017",42,2
"2147","4C-09-017-04","4C-09-017",49,1
"2148","4C-09-017-05","4C-09-017",41,2
"2149","4C-09-018-01","4C-09-018",22,3
"2150","4C-09-018-02","4C-09-018",23,2
"2151","4C-09-018-03","4C-09-018",60,1
"2152","4C-09-018-04","4C-09-018",51,2
"2153","4C-09-018-05","4C-09-018",5,2
"2154","4C-09-018-06","4C-09-018",3,2
"2155","4C-09-019-01","4C-09-019",36,3
"2156","4C-09-019-02","4C-09-019",40,3
"2157","4C-09-019-03","4C-09-019",11,3
"2158","4C-09-020-01","4C-09-020",28,3
"2159","4C-09-020-02","4C-09-020",29,2
"2160","4C-09-020-03","4C-09-020",53,3
"2161","4C-09-020-04","4C-09-020",27,3
"2162","4C-09-020-05","4C-09-020",3,3
"2163","4C-09-021-01","4C-09-021",29,3
"2164","4C-09-021-02","4C-09-021",92,2
"2165","4C-09-021-03","4C-09-021",41,3
"2166","4C-09-021-04","4C-09-021",60,3
"2167","4C-09-021-05","4C-09-021",22,1
"2168","4C-09-021-06","4C-09-021",26,2
"2169","4C-09-022-01","4C-09-022",30,3
"2170","4C-09-022-02","4C-09-022",53,3
"2171","4C-09-022-03","4C-09-022",32,3
"2172","4C-09-022-04","4C-09-022",59,3
"2173","4C-09-022-05","4C-09-022",32,3
"2174","4C-09-023-01","4C-09-023",72,3
"2175","4C-09-023-02","4C-09-023",74,2
"2176","4C-09-023-03","4C-09-023",40,3
"2177","4C-09-023-04","4C-09-023",13,3
"2178","4C-09-023-05","4C-09-023",55,2
"2179","4C-09-023-06","4C-09-023",7,3
"2180","4C-09-024-01","4C-09-024",28,3
"2181","4C-09-024-02","4C-09-024",29,3
"2182","4C-09-024-03","4C-09-024",56,3
"2183","4C-09-024-04","4C-09-024",61,3
"2184","4C-09-024-05","4C-09-024",60,2
"2185","4C-09-025-01","4C-09-025",21,3
"2186","4C-09-025-02","4C-09-025",70,2
"2187","4C-09-025-03","4C-09-025",50,1
"2188","4C-09-025-04","4C-09-025",55,2
"2189","4C-09-025-05","4C-09-025",42,3
"2190","4C-09-025-06","4C-09-025",80,1
"2191","4C-09-025-07","4C-09-025",47,1
"2192","4C-09-026-01","4C-09-026",38,3
"2193","4C-09-026-02","4C-09-026",40,2
"2194","4C-09-026-03","4C-09-026",62,3
"2195","4C-09-027-01","4C-09-027",27,3
"2196","4C-09-027-02","4C-09-027",27,2
"2197","4C-09-028-01","4C-09-028",33,3
"2198","4C-09-028-02","4C-09-028",33,3
"2199","4C-09-028-03","4C-09-028",57,3
"2200","4C-09-028-04","4C-09-028",4,3
"2201","4C-09-029-01","4C-09-029",20,3
"2202","4C-09-029-02","4C-09-029",29,3
"2203","4C-09-029-03","4C-09-029",40,3
"2204","4C-09-030-01","4C-09-030",34,3
"2205","4C-09-030-02","4C-09-030",35,3
"2206","4C-09-030-03","4C-09-030",4,3
"2207","4C-09-031-01","4C-09-031",38,3
"2208","4C-09-031-02","4C-09-031",41,3
"2209","4C-09-031-03","4C-09-031",10,2
"2210","4C-09-031-04","4C-09-031",32,3
"2211","4C-09-031-05","4C-09-031",49,3
"2212","4C-09-031-06","4C-09-031",0,1
"2213","4C-09-031-07","4C-09-031",13,2
"2214","4C-09-032-01","4C-09-032",26,3
"2215","4C-09-032-02","4C-09-032",25,3
"2216","4C-09-032-03","4C-09-032",56,3
"2217","4C-09-033-01","4C-09-033",40,3
"2218","4C-09-033-02","4C-09-033",40,3
"2219","4C-09-033-03","4C-09-033",72,3
"2220","4C-09-033-04","4C-09-033",74,3
"2221","4C-09-034-01","4C-09-034",33,3
"2222","4C-09-034-02","4C-09-034",60,3
"2223","4C-09-034-03","4C-09-034",57,3
"2224","4C-09-034-04","4C-09-034",60,2
"2225","4C-09-034-05","4C-09-034",33,2
"2226","4C-09-034-06","4C-09-034",5,2
"2227","4C-09-034-07","4C-09-034",60,2
"2228","4C-09-035-01","4C-09-035",24,3
"2229","4C-09-035-02","4C-09-035",27,3
"2230","4C-09-035-03","4C-09-035",3,3
"2231","4C-09-035-04","4C-09-035",51,3
"2232","4C-09-035-05","4C-09-035",52,3
"2233","4C-09-036-01","4C-09-036",65,3
"2234","4C-09-036-02","4C-09-036",32,3
"2235","4C-09-036-03","4C-09-036",3,3
"2236","4C-09-036-04","4C-09-036",33,3
"2237","4C-09-036-05","4C-09-036",33,2
"2238","4C-09-036-06","4C-09-036",1,2
"2239","4C-09-037-01","4C-09-037",37,3
"2240","4C-09-037-02","4C-09-037",33,3
"2241","4C-09-037-03","4C-09-037",36,2
"2242","4C-09-037-04","4C-09-037",28,2
"2243","4C-09-038-01","4C-09-038",35,3
"2244","4C-09-038-02","4C-09-038",56,3
"2245","4C-09-038-03","4C-09-038",38,3
"2246","4C-09-038-04","4C-09-038",40,2
"2247","4C-09-038-05","4C-09-038",5,3
"2248","4C-09-039-01","4C-09-039",25,3
"2249","4C-09-039-02","4C-09-039",27,3
"2250","4C-09-039-03","4C-09-039",53,3
"2251","4C-09-039-04","4C-09-039",53,2
"2252","4C-09-039-05","4C-09-039",62,2
"2253","4C-09-039-06","4C-09-039",62,1
"2254","4C-09-039-07","4C-09-039",55,1
"2255","4C-09-039-08","4C-09-039",28,2
"2256","4C-09-040-01","4C-09-040",27,3
"2257","4C-09-040-02","4C-09-040",28,3
"2258","4C-09-040-03","4C-09-040",55,2
"2259","4C-09-040-04","4C-09-040",60,2
"2260","4C-09-041-01","4C-09-041",27,3
"2261","4C-09-041-02","4C-09-041",35,3
"2262","4C-09-041-03","4C-09-041",61,3
"2263","4C-09-042-01","4C-09-042",58,3
"2264","4C-09-042-02","4C-09-042",30,3
"2265","4C-09-042-03","4C-09-042",30,3
"2266","4C-09-043-01","4C-09-043",52,3
"2267","4C-09-043-02","4C-09-043",28,3
"2268","4C-09-043-03","4C-09-043",40,3
"2269","4C-09-044-01","4C-09-044",30,3
"2270","4C-09-044-02","4C-09-044",29,3
"2271","4C-09-044-03","4C-09-044",62,3
"2272","4C-09-044-04","4C-09-044",64,3
"2273","4C-09-044-05","4C-09-044",33,3
"2274","4C-09-045-01","4C-09-045",30,3
"2275","4C-09-045-02","4C-09-045",31,3
"2276","4C-09-045-03","4C-09-045",3,3
"2277","4C-09-045-04","4C-09-045",60,3
"2278","4C-09-045-05","4C-09-045",59,2
"2279","4C-09-045-06","4C-09-045",60,2
"2280","4C-09-046-01","4C-09-046",37,3
"2281","4C-09-046-02","4C-09-046",70,3
"2282","4C-09-046-03","4C-09-046",41,3
"2283","4C-09-046-04","4C-09-046",14,3
"2284","4C-09-047-01","4C-09-047",30,3
"2285","4C-09-047-02","4C-09-047",34,3
"2286","4C-09-047-03","4C-09-047",4,3
"2287","4C-09-047-04","4C-09-047",42,3
"2288","4C-09-047-05","4C-09-047",0,3
"2289","4C-09-048-01","4C-09-048",24,3
"2290","4C-09-048-02","4C-09-048",30,2
"2291","4C-09-048-03","4C-09-048",50,3
"2292","4C-09-048-04","4C-09-048",55,3
"2293","4C-09-049-01","4C-09-049",30,3
"2294","4C-09-049-02","4C-09-049",32,3
"2295","4C-09-050-01","4C-09-050",31,3
"2296","4C-09-050-02","4C-09-050",45,3
"2297","4C-09-050-03","4C-09-050",36,3
"2298","4C-09-051-01","4C-09-051",60,3
"2299","4C-09-051-02","4C-09-051",29,3
"2300","4C-09-051-03","4C-09-051",31,3
"2301","4C-09-051-04","4C-09-051",4,3
"2302","4C-09-052-01","4C-09-052",27,3
"2303","4C-09-052-02","4C-09-052",3,3
"2304","4C-09-052-03","4C-09-052",53,3
"2305","4C-09-052-04","4C-09-052",27,3
"2306","4C-09-052-05","4C-09-052",12,3
"2307","4C-09-053-01","4C-09-053",34,3
"2308","4C-09-053-02","4C-09-053",35,2
"2309","4C-09-053-03","4C-09-053",22,2
"2310","4C-09-053-04","4C-09-053",10,2
"2311","4C-09-054-01","4C-09-054",35,3
"2312","4C-09-054-02","4C-09-054",70,3
"2313","4C-09-054-03","4C-09-054",40,3
"2314","4C-09-054-04","4C-09-054",4,2
"2315","4C-09-054-05","4C-09-054",24,1
"2316","4C-09-054-06","4C-09-054",65,1
"2317","4C-09-054-07","4C-09-054",42,1
"2318","4C-09-055-01","4C-09-055",35,3
"2319","4C-09-055-02","4C-09-055",63,3
"2320","4C-09-055-03","4C-09-055",36,3
"2321","4C-09-055-04","4C-09-055",5,3
"2322","4C-09-055-05","4C-09-055",3,3
"2323","4C-09-056-01","4C-09-056",26,3
"2324","4C-09-056-02","4C-09-056",26,3
"2325","4C-09-056-03","4C-09-056",56,3
"2326","4C-09-056-04","4C-09-056",57,3
"2327","4C-09-057-01","4C-09-057",30,3
"2328","4C-09-057-02","4C-09-057",32,3
"2329","4C-09-057-03","4C-09-057",3,3
"2330","4C-09-058-01","4C-09-058",26,3
"2331","4C-09-058-02","4C-09-058",36,3
"2332","4C-09-058-03","4C-09-058",63,3
"2333","4C-09-059-01","4C-09-059",31,3
"2334","4C-09-059-02","4C-09-059",53,3
"2335","4C-09-059-03","4C-09-059",31,3
"2336","4C-09-059-04","4C-09-059",53,3
"2337","4C-09-059-05","4C-09-059",16,3
"2338","4C-09-060-01","4C-09-060",22,3
"2339","4C-09-060-02","4C-09-060",22,3
"2340","4C-09-060-03","4C-09-060",70,3
"2341","4C-09-060-04","4C-09-060",30,3
"2342","4C-10-001-01","4C-10-001",28,3
"2343","4C-10-001-02","4C-10-001",70,3
"2344","4C-10-001-03","4C-10-001",3,3
"2345","4C-10-002-01","4C-10-002",29,3
"2346","4C-10-002-02","4C-10-002",53,2
"2347","4C-10-002-03","4C-10-002",52,2
"2348","4C-10-002-04","4C-10-002",26,2
"2349","4C-10-002-05","4C-10-002",33,2
"2350","4C-10-003-01","4C-10-003",34,3
"2351","4C-10-003-02","4C-10-003",35,3
"2352","4C-10-003-03","4C-10-003",13,3
"2353","4C-10-003-04","4C-10-003",11,2
"2354","4C-10-003-05","4C-10-003",3,2
"2355","4C-10-003-06","4C-10-003",0,2
"2356","4C-10-004-01","4C-10-004",35,2
"2357","4C-10-004-02","4C-10-004",32,3
"2358","4C-10-004-03","4C-10-004",36,3
"2359","4C-10-005-01","4C-10-005",19,3
"2360","4C-10-005-02","4C-10-005",26,3
"2361","4C-10-005-03","4C-10-005",37,3
"2362","4C-10-005-04","4C-10-005",49,2
"2363","4C-10-005-05","4C-10-005",16,2
"2364","4C-10-005-06","4C-10-005",6,2
"2365","4C-10-006-01","4C-10-006",33,3
"2366","4C-10-006-02","4C-10-006",34,3
"2367","4C-10-006-03","4C-10-006",11,2
"2368","4C-10-006-04","4C-10-006",28,1
"2369","4C-10-007-01","4C-10-007",30,2
"2370","4C-10-007-02","4C-10-007",26,3
"2371","4C-10-007-03","4C-10-007",53,3
"2372","4C-10-007-04","4C-10-007",27,3
"2373","4C-10-008-01","4C-10-008",26,3
"2374","4C-10-008-02","4C-10-008",7,3
"2375","4C-10-008-03","4C-10-008",28,2
"2376","4C-10-009-01","4C-10-009",27,3
"2377","4C-10-009-02","4C-10-009",67,3
"2378","4C-10-009-03","4C-10-009",28,3
"2379","4C-10-009-04","4C-10-009",6,2
"2380","4C-10-010-01","4C-10-010",36,3
"2381","4C-10-010-02","4C-10-010",50,3
"2382","4C-10-010-03","4C-10-010",0,3
"2383","4C-10-011-01","4C-10-011",33,3
"2384","4C-10-011-02","4C-10-011",36,2
"2385","4C-10-011-03","4C-10-011",14,3
"2386","4C-10-011-04","4C-10-011",10,3
"2387","4C-10-011-05","4C-10-011",0,1
"2388","4C-10-012-01","4C-10-012",34,3
"2389","4C-10-012-02","4C-10-012",72,3
"2390","4C-10-012-03","4C-10-012",54,3
"2391","4C-10-012-04","4C-10-012",56,1
"2392","4C-10-013-01","4C-10-013",38,3
"2393","4C-10-013-02","4C-10-013",39,3
"2394","4C-10-013-03","4C-10-013",62,3
"2395","4C-10-013-04","4C-10-013",11,2
"2396","4C-10-013-05","4C-10-013",9,2
"2397","4C-10-013-06","4C-10-013",11,1
"2398","4C-10-014-01","4C-10-014",26,3
"2399","4C-10-014-02","4C-10-014",29,3
"2400","4C-10-014-03","4C-10-014",66,2
"2401","4C-10-014-04","4C-10-014",3,2
"2402","4C-10-014-05","4C-10-014",31,2
"2403","4C-10-014-06","4C-10-014",38,1
"2404","4C-10-015-01","4C-10-015",39,3
"2405","4C-10-015-02","4C-10-015",9,3
"2406","4C-10-015-03","4C-10-015",20,3
"2407","4C-10-015-04","4C-10-015",70,3
"2408","4C-10-015-05","4C-10-015",72,3
"2409","4C-10-015-06","4C-10-015",41,3
"2410","4C-10-016-01","4C-10-016",28,3
"2411","4C-10-016-02","4C-10-016",28,3
"2412","4C-10-016-03","4C-10-016",2,2
"2413","4C-10-016-04","4C-10-016",26,2
"2414","4C-10-016-05","4C-10-016",50,3
"2415","4C-10-016-06","4C-10-016",63,2
"2416","4C-10-017-01","4C-10-017",30,3
"2417","4C-10-017-02","4C-10-017",51,3
"2418","4C-10-017-03","4C-10-017",30,2
"2419","4C-10-017-04","4C-10-017",4,2
"2420","4C-10-017-05","4C-10-017",52,2
"2421","4C-10-018-01","4C-10-018",33,3
"2422","4C-10-018-02","4C-10-018",54,3
"2423","4C-10-018-03","4C-10-018",33,3
"2424","4C-10-018-04","4C-10-018",57,2
"2425","4C-10-018-05","4C-10-018",27,2
"2426","4C-10-018-06","4C-10-018",31,2
"2427","4C-10-019-01","4C-10-019",32,3
"2428","4C-10-019-02","4C-10-019",32,3
"2429","4C-10-019-03","4C-10-019",36,2
"2430","4C-10-020-01","4C-10-020",27,3
"2431","4C-10-020-02","4C-10-020",31,3
"2432","4C-10-020-03","4C-10-020",51,3
"2433","4C-10-020-04","4C-10-020",51,3
"2434","4C-10-021-01","4C-10-021",23,3
"2435","4C-10-021-02","4C-10-021",28,3
"2436","4C-10-021-03","4C-10-021",64,3
"2437","4C-10-021-04","4C-10-021",67,3
"2438","4C-10-022-01","4C-10-022",31,3
"2439","4C-10-022-02","4C-10-022",29,3
"2440","4C-10-022-03","4C-10-022",10,3
"2441","4C-10-022-04","4C-10-022",29,3
"2442","4C-10-023-01","4C-10-023",28,3
"2443","4C-10-023-02","4C-10-023",48,3
"2444","4C-10-023-03","4C-10-023",24,2
"2445","4C-10-023-04","4C-10-023",37,3
"2446","4C-10-023-05","4C-10-023",26,2
"2447","4C-10-024-01","4C-10-024",35,3
"2448","4C-10-024-02","4C-10-024",38,3
"2449","4C-10-024-03","4C-10-024",7,3
"2450","4C-10-025-01","4C-10-025",30,3
"2451","4C-10-025-02","4C-10-025",31,3
"2452","4C-10-025-03","4C-10-025",7,3
"2453","4C-10-026-01","4C-10-026",29,3
"2454","4C-10-026-02","4C-10-026",60,3
"2455","4C-10-026-03","4C-10-026",3,2
"2456","4C-10-027-01","4C-10-027",35,3
"2457","4C-10-027-02","4C-10-027",44,2
"2458","4C-10-027-03","4C-10-027",4,2
"2459","4C-10-028-01","4C-10-028",35,3
"2460","4C-10-028-02","4C-10-028",35,2
"2461","4C-10-028-03","4C-10-028",74,3
"2462","4C-10-028-04","4C-10-028",9,2
"2463","4C-10-028-05","4C-10-028",20,1
"2464","4C-10-029-01","4C-10-029",33,3
"2465","4C-10-029-02","4C-10-029",37,2
"2466","4C-10-029-03","4C-10-029",72,2
"2467","4C-10-030-01","4C-10-030",30,3
"2468","4C-10-030-02","4C-10-030",38,3
"2469","4C-10-030-03","4C-10-030",62,3
"2470","4C-10-030-04","4C-10-030",7,3
"2471","4C-10-031-01","4C-10-031",34,3
"2472","4C-10-031-02","4C-10-031",39,3
"2473","4C-10-031-03","4C-10-031",6,3
"2474","4C-10-031-04","4C-10-031",1,3
"2475","4C-10-032-01","4C-10-032",39,3
"2476","4C-10-032-02","4C-10-032",39,2
"2477","4C-10-032-03","4C-10-032",6,3
"2478","4C-10-033-01","4C-10-033",30,3
"2479","4C-10-033-02","4C-10-033",26,3
"2480","4C-10-033-03","4C-10-033",19,3
"2481","4C-10-033-04","4C-10-033",8,3
"2482","4C-10-034-01","4C-10-034",36,3
"2483","4C-10-034-02","4C-10-034",39,3
"2484","4C-10-034-03","4C-10-034",10,3
"2485","4C-10-034-04","4C-10-034",75,3
"2486","4C-10-034-05","4C-10-034",50,1
"2487","4C-10-035-01","4C-10-035",23,3
"2488","4C-10-035-02","4C-10-035",36,3
"2489","4C-10-035-03","4C-10-035",5,3
"2490","4C-10-036-01","4C-10-036",40,2
"2491","4C-10-036-02","4C-10-036",14,2
"2492","4C-10-036-03","4C-10-036",7,2
"2493","4C-10-036-04","4C-10-036",30,3
"2494","4C-10-036-05","4C-10-036",0,3
"2495","4C-10-037-01","4C-10-037",33,3
"2496","4C-10-037-02","4C-10-037",33,2
"2497","4C-10-037-03","4C-10-037",6,2
"2498","4C-10-037-04","4C-10-037",54,3
"2499","4C-10-038-01","4C-10-038",30,3
"2500","4C-10-038-02","4C-10-038",34,3
"2501","4C-10-038-03","4C-10-038",4,2
"2502","4C-10-038-04","4C-10-038",36,1
"2503","4C-10-039-01","4C-10-039",33,3
"2504","4C-10-039-02","4C-10-039",35,3
"2505","4C-10-039-03","4C-10-039",8,3
"2506","4C-10-039-04","4C-10-039",60,2
"2507","4C-10-040-01","4C-10-040",38,3
"2508","4C-10-040-02","4C-10-040",38,2
"2509","4C-10-040-03","4C-10-040",14,2
"2510","4C-10-040-04","4C-10-040",13,2
"2511","4C-10-040-05","4C-10-040",4,2
"2512","4C-10-040-06","4C-10-040",64,2
"2513","4C-10-041-01","4C-10-041",25,3
"2514","4C-10-041-02","4C-10-041",27,3
"2515","4C-10-041-03","4C-10-041",43,3
"2516","4C-10-041-04","4C-10-041",67,3
"2517","4C-10-041-05","4C-10-041",95,3
"2518","4C-10-041-06","4C-10-041",7,3
"2519","4C-10-042-01","4C-10-042",35,3
"2520","4C-10-042-02","4C-10-042",38,3
"2521","4C-10-042-03","4C-10-042",7,3
"2522","4C-10-042-04","4C-10-042",64,3
"2523","4C-10-042-05","4C-10-042",34,2
"2524","4C-10-043-01","4C-10-043",25,3
"2525","4C-10-043-02","4C-10-043",27,3
"2526","4C-10-044-01","4C-10-044",38,3
"2527","4C-10-044-02","4C-10-044",37,3
"2528","4C-10-044-03","4C-10-044",2,3
"2529","4C-10-044-04","4C-10-044",80,2
"2530","4C-10-045-01","4C-10-045",37,3
"2531","4C-10-045-02","4C-10-045",39,3
"2532","4C-10-045-03","4C-10-045",78,3
"2533","4C-10-045-04","4C-10-045",77,3
"2534","4C-10-045-05","4C-10-045",12,3
"2535","4C-10-045-06","4C-10-045",11,3
"2536","4C-10-046-01","4C-10-046",27,3
"2537","4C-10-046-02","4C-10-046",30,3
"2538","4C-10-046-03","4C-10-046",5,3
"2539","4C-10-046-04","4C-10-046",27,2
"2540","4C-10-046-05","4C-10-046",60,2
"2541","4C-10-047-01","4C-10-047",26,3
"2542","4C-10-047-02","4C-10-047",26,3
"2543","4C-10-047-03","4C-10-047",48,3
"2544","4C-10-047-04","4C-10-047",49,3
"2545","4C-10-047-05","4C-10-047",45,3
"2546","4C-10-047-06","4C-10-047",39,3
"2547","4C-10-048-01","4C-10-048",28,3
"2548","4C-10-048-02","4C-10-048",30,3
"2549","4C-10-048-03","4C-10-048",6,3
"2550","4C-10-048-04","4C-10-048",55,3
"2551","4C-10-048-05","4C-10-048",59,3
"2552","4C-10-048-06","4C-10-048",26,2
"2553","4C-10-049-01","4C-10-049",25,3
"2554","4C-10-049-02","4C-10-049",28,3
"2555","4C-10-049-03","4C-10-049",49,2
"2556","4C-10-049-04","4C-10-049",54,3
"2557","4C-10-049-05","4C-10-049",27,3
"2558","4C-10-049-06","4C-10-049",28,3
"2559","4C-10-050-01","4C-10-050",30,3
"2560","4C-10-050-02","4C-10-050",30,3
"2561","4C-10-050-03","4C-10-050",4,3
"2562","4C-10-050-04","4C-10-050",53,2
"2563","4C-10-050-05","4C-10-050",35,2
"2564","4C-10-050-06","4C-10-050",33,2
"2565","4C-10-050-07","4C-10-050",37,2
"2566","4C-10-050-08","4C-10-050",35,2
"2567","4C-10-050-09","4C-10-050",10,2
"2568","4C-10-050-10","4C-10-050",12,2
"2569","4C-10-051-01","4C-10-051",28,3
"2570","4C-10-051-02","4C-10-051",30,3
"2571","4C-10-051-03","4C-10-051",62,3
"2572","4C-10-052-01","4C-10-052",25,3
"2573","4C-10-052-02","4C-10-052",30,3
"2574","4C-10-053-01","4C-10-053",26,3
"2575","4C-10-053-02","4C-10-053",32,3
"2576","4C-10-053-03","4C-10-053",49,3
"2577","4C-10-053-04","4C-10-053",53,2
"2578","4C-10-053-05","4C-10-053",22,2
"2579","4C-10-053-06","4C-10-053",28,2
"2580","4C-10-054-01","4C-10-054",28,3
"2581","4C-10-054-02","4C-10-054",30,3
"2582","4C-10-054-03","4C-10-054",54,3
"2583","4C-10-055-01","4C-10-055",30,3
"2584","4C-10-055-02","4C-10-055",34,3
"2585","4C-10-055-03","4C-10-055",32,2
"2586","4C-10-055-04","4C-10-055",31,2
"2587","4C-10-055-05","4C-10-055",3,3
"2588","4C-10-056-01","4C-10-056",28,3
"2589","4C-10-056-02","4C-10-056",34,3
"2590","4C-10-056-03","4C-10-056",47,2
"2591","4C-10-056-04","4C-10-056",50,2
"2592","4C-10-056-05","4C-10-056",33,2
"2593","4C-10-057-01","4C-10-057",34,3
"2594","4C-10-057-02","4C-10-057",40,3
"2595","4C-10-057-03","4C-10-057",10,3
"2596","4C-10-058-01","4C-10-058",26,3
"2597","4C-10-058-02","4C-10-058",33,3
"2598","4C-10-058-03","4C-10-058",3,3
"2599","4C-10-058-04","4C-10-058",0,3
"2600","4C-10-058-05","4C-10-058",0,3
"2601","4C-10-059-01","4C-10-059",29,3
"2602","4C-10-059-02","4C-10-059",29,3
"2603","4C-10-059-03","4C-10-059",52,3
"2604","4C-10-059-04","4C-10-059",52,3
"2605","4C-10-059-05","4C-10-059",30,2
"2606","4C-10-060-01","4C-10-060",34,3
"2607","4C-10-060-02","4C-10-060",0,3
"2608","4C-11-001-01","4C-11-001",27,3
"2609","4C-11-001-02","4C-11-001",51,3
"2610","4C-11-001-03","4C-11-001",54,3
"2611","4C-11-001-04","4C-11-001",5,3
"2612","4C-11-001-05","4C-11-001",78,2
"2613","4C-11-001-06","4C-11-001",76,2
"2614","4C-11-002-01","4C-11-002",40,3
"2615","4C-11-002-02","4C-11-002",86,2
"2616","4C-11-002-03","4C-11-002",64,2
"2617","4C-11-002-04","4C-11-002",10,3
"2618","4C-11-003-01","4C-11-003",37,3
"2619","4C-11-003-02","4C-11-003",75,3
"2620","4C-11-003-03","4C-11-003",34,3
"2621","4C-11-003-04","4C-11-003",10,3
"2622","4C-11-003-05","4C-11-003",8,3
"2623","4C-11-004-01","4C-11-004",30,3
"2624","4C-11-004-02","4C-11-004",32,3
